T_C;seria_Hmax_nom_A_per_m;branch;i;H_A_per_m;B_T
17.5;10000;asc;14;-5227.4;-0.15444
17.5;10000;asc;15;-5166.6;-0.15267
17.5;10000;asc;16;-5105.9;-0.15092
17.5;10000;asc;17;-5045.1;-0.14954
17.5;10000;asc;18;-4984.3;-0.14831
17.5;10000;asc;19;-4923.5;-0.14762
17.5;10000;asc;20;-4862.7;-0.14675
17.5;10000;asc;21;-4801.9;-0.14535
17.5;10000;asc;22;-4741.1;-0.14424
17.5;10000;asc;23;-4680.4;-0.14323
17.5;10000;asc;24;-4619.6;-0.14182
17.5;10000;asc;25;-4558.8;-0.14095
17.5;10000;asc;26;-4498.0;-0.14002
17.5;10000;asc;27;-4437.2;-0.13922
17.5;10000;asc;28;-4376.4;-0.13817
17.5;10000;asc;29;-4315.7;-0.13667
